name, first set, first rarity, first date, earliest non-common set, earliest non-common rarity, earliest non-common date, downshift set, downshift rarity, downshift date
Ancient Den, Mirrodin, common, 2003-10-02, Time Spiral Remastered, special, 2021-03-19, Commander 2021, common, 2021-04-23,
Pyrite Spellbomb, Mirrodin, common, 2003-10-02, Secret Lair Drop, rare, 2022-07-07, The List, common, 2024-08-02,
Blue Elemental Blast, Limited Edition Alpha, common, 1993-08-05, Masters Edition IV, uncommon, 2011-01-10, 30th Anniversary Edition, common, 2022-11-28,
Updraft, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Fifth Edition, common, 1997-03-24,
Topan Freeblade, Magic Origins, common, 2015-07-17, Iconic Masters, uncommon, 2017-11-17, The List, common, 2019-11-07,
Ancestral Mask, Mercadian Masques, common, 1999-10-04, Eternal Masters, uncommon, 2016-06-10, Historic Anthology 2, common, 2020-03-12,
Deranged Whelp, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Pulse of Murasa, Oath of the Gatewatch, common, 2016-01-22, Battlebond, uncommon, 2018-06-08, Ultimate Masters, common, 2018-12-07,
Mad Prophet, Avacyn Restored, common, 2012-05-04, Shadows over Innistrad, uncommon, 2016-04-08, Ultimate Masters, common, 2018-12-07,
Mark of Mutiny, Zendikar, uncommon, 2009-10-02, Zendikar, uncommon, 2009-10-02, Iconic Masters, common, 2017-11-17,
Arrogant Wurm, Torment, uncommon, 2002-02-04, Torment, uncommon, 2002-02-04, Vintage Masters, common, 2014-06-16,
Balduvian Horde, Alliances, rare, 1996-06-10, Alliances, rare, 1996-06-10, Masters 25, common, 2018-03-16,
Urza's Mine, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Rinascimento, common, 1995-08-01,
Pollenbright Druid, War of the Spark, common, 2019-05-03, Secret Lair Drop, rare, 2024-06-24, The List, common, 2024-08-02,
Call of the Conclave, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Modern Masters 2017, common, 2017-03-17,
Armory of Iroas, Journey into Nyx, uncommon, 2014-05-02, Journey into Nyx, uncommon, 2014-05-02, Commander Legends, common, 2020-11-20,
Cower in Fear, Magic 2013, uncommon, 2012-07-13, Magic 2013, uncommon, 2012-07-13, Modern Masters 2017, common, 2017-03-17,
Thrill-Kill Assassin, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Iconic Masters, common, 2017-11-17,
Golem-Skin Gauntlets, Mirrodin, uncommon, 2003-10-02, Mirrodin, uncommon, 2003-10-02, Double Masters, common, 2020-08-07,
Torsten Von Ursus, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Battle-Rattle Shaman, Rise of the Eldrazi, common, 2010-04-23, Battlebond, uncommon, 2018-06-08, The List, common, 2019-11-07,
Darksteel Axe, Scars of Mirrodin, uncommon, 2010-10-01, Scars of Mirrodin, uncommon, 2010-10-01, Iconic Masters, common, 2017-11-17,
Lotleth Giant, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Commander Masters, common, 2023-08-04,
Mountain Yeti, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Chronicles Foreign Black Border, common, 1995-07-01,
Savannah Lions, Limited Edition Alpha, rare, 1993-08-05, Limited Edition Alpha, rare, 1993-08-05, Masters 25, common, 2018-03-16,
Cauldron Familiar, Throne of Eldraine, uncommon, 2019-10-04, Throne of Eldraine, uncommon, 2019-10-04, Jumpstart, common, 2020-07-17,
Court Hussar, Dissension, uncommon, 2006-05-05, Dissension, uncommon, 2006-05-05, Masters 25, common, 2018-03-16,
Mutagenic Growth, New Phyrexia, common, 2011-05-13, Modern Masters 2015, uncommon, 2015-05-22, The List, common, 2024-08-02,
Sky Diamond, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Commander Legends, common, 2020-11-20,
Boomerang, Legends, common, 1994-06-01, DCI Promos, rare, 2007-02-28, Tenth Edition, common, 2007-07-13,
Tragic Slip, Dark Ascension, common, 2012-02-03, Legendary Cube Prize Pack, uncommon, 2015-11-18, Eternal Masters, common, 2016-06-10,
Firemind Vessel, War of the Spark, uncommon, 2019-05-03, War of the Spark, uncommon, 2019-05-03, Commander Masters, common, 2023-08-04,
Simian Spirit Guide, Planar Chaos, common, 2007-02-02, Masters 25, uncommon, 2018-03-16, The List, common, 2020-09-01,
Ancestral Blade, Core Set 2020, uncommon, 2019-07-12, Core Set 2020, uncommon, 2019-07-12, Double Masters, common, 2020-08-07,
Duskdale Wurm, Eventide, uncommon, 2008-07-25, Eventide, uncommon, 2008-07-25, Iconic Masters, common, 2017-11-17,
Forsaken Sanctuary, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Amonkhet, common, 2017-04-28,
Theft of Dreams, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Exodus, common, 1998-06-15,
Filigree Attendant, Modern Horizons 2, uncommon, 2021-06-18, Modern Horizons 2, uncommon, 2021-06-18, Commander Masters, common, 2023-08-04,
Grixis Slavedriver, Conflux, uncommon, 2009-02-06, Conflux, uncommon, 2009-02-06, Modern Masters 2017, common, 2017-03-17,
Heat Ray, Urza's Saga, common, 1998-10-12, Magic 2015, uncommon, 2014-07-18, Iconic Masters, common, 2017-11-17,
Dark Privilege, Multiverse Gift Box, rare, 1996-11-01, Multiverse Gift Box, rare, 1996-11-01, Visions, common, 1997-02-03,
Shield Wall, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fifth Edition, common, 1997-03-24,
Offalsnout, Morningtide, uncommon, 2008-02-01, Morningtide, uncommon, 2008-02-01, Ultimate Masters, common, 2018-12-07,
All That Glitters, Throne of Eldraine, uncommon, 2019-10-04, Throne of Eldraine, uncommon, 2019-10-04, Commander Masters, common, 2023-08-04,
Red Elemental Blast, Limited Edition Alpha, common, 1993-08-05, Masters Edition IV, uncommon, 2011-01-10, 30th Anniversary Edition, common, 2022-11-28,
Spore Frog, Prophecy, common, 2000-06-05, Secret Lair Drop, rare, 2021-11-29, Bloomburrow Commander, common, 2024-08-02,
Death Spark, Alliances, uncommon, 1996-06-10, Alliances, uncommon, 1996-06-10, Masters Edition II, common, 2008-09-22,
Evil Eye of Orms-by-Gore, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Dominaria Remastered, common, 2023-01-13,
Mana Cylix, Planeshift, uncommon, 2001-02-05, Planeshift, uncommon, 2001-02-05, Conflux, common, 2009-02-06,
Sever Soul, Mercadian Masques, common, 1999-10-04, Eighth Edition, uncommon, 2003-07-28, The List, common, 2024-08-02,
Tuskguard Captain, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Double Masters 2022, common, 2022-07-08,
Ardent Militia, Portal, uncommon, 1997-05-01, Portal, uncommon, 1997-05-01, Weatherlight, common, 1997-06-09,
Charging Rhino, Portal, rare, 1997-05-01, Portal, rare, 1997-05-01, Conspiracy, common, 2014-06-06,
Thief of Hope, Champions of Kamigawa, uncommon, 2004-10-01, Champions of Kamigawa, uncommon, 2004-10-01, Modern Masters 2015, common, 2015-05-22,
Thrull Surgeon, Exodus, common, 1998-06-15, Tenth Edition, uncommon, 2007-07-13, Tempest Remastered, common, 2015-05-06,
Lone Wolf, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Starter 1999, common, 1999-07-01,
Hunting Cheetah, Portal Three Kingdoms, uncommon, 1999-05-01, Portal Three Kingdoms, uncommon, 1999-05-01, Masters Edition III, common, 2009-09-07,
Crowned Ceratok, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Iconic Masters, common, 2017-11-17,
Two-Headed Sliver, Time Spiral, common, 2006-10-06, Secret Lair Drop, rare, 2022-07-15, Commander Masters, common, 2023-08-04,
Falkenrath Noble, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Modern Masters 2017, common, 2017-03-17,
Mana Prism, Mirage, uncommon, 1996-10-08, Mirage, uncommon, 1996-10-08, Vintage Masters, common, 2014-06-16,
Wild-Field Scarecrow, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Gemhide Sliver, Time Spiral, common, 2006-10-06, Secret Lair Drop, rare, 2022-11-01, Commander Masters, common, 2023-08-04,
Seal of Doom, Nemesis, common, 2000-02-14, Modern Masters 2017, uncommon, 2017-03-17, The List, common, 2019-11-07,
Disrupt, Weatherlight, common, 1997-06-09, Invasion, uncommon, 2000-10-02, The List, common, 2024-08-02,
Man-o'-War, Visions, common, 1997-02-03, Portal, uncommon, 1997-05-01, World Championship Decks 1997, common, 1997-08-13,
Last Breath, Mercadian Masques, uncommon, 1999-10-04, Mercadian Masques, uncommon, 1999-10-04, Shadowmoor, common, 2008-05-02,
Blur Sliver, Magic 2014, common, 2013-07-19, Secret Lair Drop, rare, 2022-12-15, Commander Masters, common, 2023-08-04,
Daze, Nemesis, common, 2000-02-14, Eternal Masters, uncommon, 2016-06-10, The List, common, 2019-11-07,
Sanctum Spirit, Dominaria, uncommon, 2018-04-27, Dominaria, uncommon, 2018-04-27, Double Masters, common, 2020-08-07,
Waterkin Shaman, Core Set 2020, uncommon, 2019-07-12, Core Set 2020, uncommon, 2019-07-12, Arena Beginner Set, common, 2020-08-13,
Alloy Myr, New Phyrexia, uncommon, 2011-05-13, New Phyrexia, uncommon, 2011-05-13, Modern Masters 2015, common, 2015-05-22,
Shimmering Grotto, Lorwyn, common, 2007-10-12, Magic 2014, uncommon, 2013-07-19, Planechase Anthology, common, 2016-11-25,
Haunted Cloak, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Commander Legends, common, 2020-11-20,
Maalfeld Twins, Avacyn Restored, uncommon, 2012-05-04, Avacyn Restored, uncommon, 2012-05-04, Commander Legends, common, 2020-11-20,
Pierce Strider, Mirrodin Besieged, uncommon, 2011-02-04, Mirrodin Besieged, uncommon, 2011-02-04, Battlebond, common, 2018-06-08,
Kobold Taskmaster, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Darksteel Citadel, Darksteel, common, 2004-02-06, Magic 2015, uncommon, 2014-07-18, Modern Masters 2015, common, 2015-05-22,
Patchwork Gnomes, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Goblin Bushwhacker, Zendikar, common, 2009-10-02, Secret Lair Drop, rare, 2019-12-07, The List, common, 2020-03-13,
Dust to Dust, The Dark, common, 1994-08-01, Fifth Edition, uncommon, 1997-03-24, Masters Edition, common, 2007-09-10,
Ogre Taskmaster, Portal Second Age, uncommon, 1998-06-24, Portal Second Age, uncommon, 1998-06-24, Masters Edition IV, common, 2011-01-10,
Liliana's Elite, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Double Masters 2022, common, 2022-07-08,
Foundry Inspector, Kaladesh, uncommon, 2016-09-30, Kaladesh, uncommon, 2016-09-30, Commander Legends, common, 2020-11-20,
Red Herring, Mystery Booster Playtest Cards 2019, rare, 2019-11-07, Mystery Booster Playtest Cards 2019, rare, 2019-11-07, Murders at Karlov Manor, common, 2024-02-09,
Greater Forgeling, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica Remastered, common, 2024-01-12,
Preordain, Magic 2011, common, 2010-07-16, Secret Lair Drop, rare, 2021-04-26, New Capenna Commander, common, 2022-04-29,
Adarkar Sentinel, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Survival Cache, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Iconic Masters, common, 2017-11-17,
Riptide Crab, Invasion, uncommon, 2000-10-02, Invasion, uncommon, 2000-10-02, Battlebond, common, 2018-06-08,
Unstable Obelisk, Commander 2014, uncommon, 2014-11-07, Commander 2014, uncommon, 2014-11-07, Warhammer 40,000 Commander, common, 2022-10-07,
Augur of Bolas, Magic 2013, uncommon, 2012-07-13, Magic 2013, uncommon, 2012-07-13, Modern Masters 2017, common, 2017-03-17,
Skywhaler's Shot, Kaladesh, uncommon, 2016-09-30, Kaladesh, uncommon, 2016-09-30, Commander Legends, common, 2020-11-20,
Miming Slime, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Ultimate Masters, common, 2018-12-07,
Slum Reaper, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Ultimate Masters, common, 2018-12-07,
Warden of Evos Isle, Magic 2014, uncommon, 2013-07-19, Magic 2014, uncommon, 2013-07-19, Eternal Masters, common, 2016-06-10,
Righteous Charge, Portal Second Age, common, 1998-06-24, Starter 1999, uncommon, 1999-07-01, Masters Edition IV, common, 2011-01-10,
Exile, Alliances, rare, 1996-06-10, Alliances, rare, 1996-06-10, Masters Edition, common, 2007-09-10,
Skyspear Cavalry, Journey into Nyx, uncommon, 2014-05-02, Journey into Nyx, uncommon, 2014-05-02, Ultimate Masters, common, 2018-12-07,
Anaba Spirit Crafter, Homelands, rare, 1995-10-01, Homelands, rare, 1995-10-01, Masters Edition III, common, 2009-09-07,
Pouncing Jaguar, Urza's Saga, common, 1998-10-12, Arena League 1999, rare, 1999-01-01, World Championship Decks 1999, common, 1999-08-04,
Hurr Jackal, Arabian Nights, common, 1993-12-17, Fourth Edition, rare, 1995-04-01, Renaissance, common, 1995-08-01,
Lightning Blast, Tempest, common, 1997-10-14, Eighth Edition, uncommon, 2003-07-28, Tempest Remastered, common, 2015-05-06,
Glasses of Urza, Limited Edition Alpha, uncommon, 1993-08-05, Limited Edition Alpha, uncommon, 1993-08-05, Masters Edition IV, common, 2011-01-10,
Unholy Heat, Modern Horizons 2, common, 2021-06-18, Secret Lair Showdown, rare, 2023-04-22, Outlaws of Thunder Junction Commander, common, 2024-04-19,
Travel Preparations, Innistrad, common, 2011-09-30, Ultimate Masters, uncommon, 2018-12-07, Shadows of the Past, common, 2023-03-21,
Cyclops Electromancer, War of the Spark, uncommon, 2019-05-03, War of the Spark, uncommon, 2019-05-03, Commander Masters, common, 2023-08-04,
Tranquility, Limited Edition Alpha, common, 1993-08-05, Tempest Remastered, uncommon, 2015-05-06, 30th Anniversary Edition, common, 2022-11-28,
Ray of Command, Ice Age, common, 1995-06-03, Masters Edition II, uncommon, 2008-09-22, Commander 2011, common, 2011-06-17,
Bound in Silence, Future Sight, uncommon, 2007-05-04, Future Sight, uncommon, 2007-05-04, Modern Masters, common, 2013-06-07,
Bloodthrone Vampire, Rise of the Eldrazi, common, 2010-04-23, URL/Convention Promos, rare, 2011-03-11, Magic 2013, common, 2012-07-13,
Nest Invader, Rise of the Eldrazi, common, 2010-04-23, Legendary Cube Prize Pack, uncommon, 2015-11-18, Planechase Anthology, common, 2016-11-25,
Emerge Unscathed, Rise of the Eldrazi, uncommon, 2010-04-23, Rise of the Eldrazi, uncommon, 2010-04-23, Iconic Masters, common, 2017-11-17,
Nadier's Nightblade, Commander Legends, uncommon, 2020-11-20, Commander Legends, uncommon, 2020-11-20, Commander Masters, common, 2023-08-04,
Dauthi Slayer, Tempest, common, 1997-10-14, Arena League 2002, rare, 2002-01-01, Magic Online Promos, common, 2013-01-11,
Shelter, Odyssey, common, 2001-10-01, Secret Lair Drop, rare, 2024-05-13, The List, common, 2024-08-02,
Reckless Wurm, Planar Chaos, uncommon, 2007-02-02, Planar Chaos, uncommon, 2007-02-02, Ultimate Masters, common, 2018-12-07,
Carbonize, Scourge, uncommon, 2003-05-26, Scourge, uncommon, 2003-05-26, Eternal Masters, common, 2016-06-10,
Treasure Hunt, Worldwake, common, 2010-02-05, Magic Player Rewards 2011, rare, 2011-01-01, Magic Online Promos, common, 2013-01-11,
Golgari Signet, Ravnica: City of Guilds, common, 2005-10-07, Modern Masters 2017, uncommon, 2017-03-17, Commander Anthology, common, 2017-06-09,
King Cheetah, Multiverse Gift Box, rare, 1996-11-01, Multiverse Gift Box, rare, 1996-11-01, Visions, common, 1997-02-03,
Death Speakers, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Fifth Edition, common, 1997-03-24,
Cranial Plating, Fifth Dawn, common, 2004-06-04, Modern Masters 2015, uncommon, 2015-05-22, The List, common, 2021-02-05,
Moldervine Cloak, Ravnica: City of Guilds, uncommon, 2005-10-07, Ravnica: City of Guilds, uncommon, 2005-10-07, Modern Masters, common, 2013-06-07,
Serum Visions, Arena League 2004, rare, 2004-01-01, Arena League 2004, rare, 2004-01-01, Fifth Dawn, common, 2004-06-04,
Verdigris, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Ghostly Changeling, Lorwyn, uncommon, 2007-10-12, Lorwyn, uncommon, 2007-10-12, Modern Masters 2015, common, 2015-05-22,
Scion of Ugin, Dragons of Tarkir, uncommon, 2015-03-27, Dragons of Tarkir, uncommon, 2015-03-27, Iconic Masters, common, 2017-11-17,
Geist of the Archives, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Ancient Stirrings, Rise of the Eldrazi, common, 2010-04-23, Masters 25, uncommon, 2018-03-16, Magic Online Promos, common, 2018-12-06,
Moan of the Unhallowed, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Ultimate Masters, common, 2018-12-07,
Evincar's Justice, Tempest, common, 1997-10-14, Tempest Remastered, uncommon, 2015-05-06, Commander Anthology, common, 2017-06-09,
Martial Impetus, Commander 2020, uncommon, 2020-04-17, Commander 2020, uncommon, 2020-04-17, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Ebony Rhino, Homelands, uncommon, 1995-10-01, Homelands, uncommon, 1995-10-01, Masters Edition IV, common, 2011-01-10,
Ponder, Lorwyn, common, 2007-10-12, Magic Player Rewards 2008, rare, 2008-01-01, Magic 2010, common, 2009-07-17,
Mesmeric Fiend, Torment, common, 2002-02-04, Masters 25, uncommon, 2018-03-16, The List, common, 2024-08-02,
Jeskai Elder, Duel Decks: Speed vs. Cunning, uncommon, 2014-09-05, Duel Decks: Speed vs. Cunning, uncommon, 2014-09-05, Double Masters 2022, common, 2022-07-08,
Ministrant of Obligation, Ravnica Allegiance, uncommon, 2019-01-25, Ravnica Allegiance, uncommon, 2019-01-25, Commander Masters, common, 2023-08-04,
Avarax, Onslaught, uncommon, 2002-10-07, Onslaught, uncommon, 2002-10-07, Eternal Masters, common, 2016-06-10,
Goblin Legionnaire, Apocalypse, common, 2001-06-04, Friday Night Magic 2007, rare, 2007-01-01, Magic Online Promos, common, 2013-01-11,
Tawnos's Wand, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Masters Edition IV, common, 2011-01-10,
Quirion Ranger, Visions, common, 1997-02-03, Friday Night Magic 2001, rare, 2001-01-01, Magic Online Promos, common, 2013-01-11,
Kor Skyfisher, Zendikar, common, 2009-10-02, URL/Convention Promos, rare, 2010-03-26, Duel Decks: Elspeth vs. Tezzeret, common, 2010-09-03,
Fairgrounds Trumpeter, Kaladesh, uncommon, 2016-09-30, Kaladesh, uncommon, 2016-09-30, March of the Machine, common, 2023-04-21,
Slashing Tiger, Portal Three Kingdoms, rare, 1999-05-01, Portal Three Kingdoms, rare, 1999-05-01, Masters Edition III, common, 2009-09-07,
Eternal Warrior, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Fourth Edition Foreign Black Border, common, 1995-04-01,
Soul Barrier, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Fifth Edition, common, 1997-03-24,
Onulet, Antiquities, uncommon, 1994-03-04, Antiquities, uncommon, 1994-03-04, Masters Edition, common, 2007-09-10,
Mistral Charger, Dissension, uncommon, 2006-05-05, Dissension, uncommon, 2006-05-05, Eternal Masters, common, 2016-06-10,
Slime Molding, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Modern Masters 2017, common, 2017-03-17,
Wandering Champion, Fate Reforged, uncommon, 2015-01-23, Fate Reforged, uncommon, 2015-01-23, Ultimate Masters, common, 2018-12-07,
Slip On the Ring, The Lord of the Rings: Tales of Middle-earth, common, 2023-06-23, Secret Lair Drop, rare, 2023-08-29, The Lord of the Rings: Tales of Middle-earth, common, 2023-11-03,
Insatiable Gorgers, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Shadows over Innistrad Remastered, common, 2023-03-21,
Spiritual Guardian, Portal, rare, 1997-05-01, Portal, rare, 1997-05-01, Arena New Player Experience Cards, common, 2018-07-14,
Wakedancer, Dark Ascension, uncommon, 2012-02-03, Dark Ascension, uncommon, 2012-02-03, Conspiracy, common, 2014-06-06,
Sprouting Renewal, Guilds of Ravnica, uncommon, 2018-10-05, Guilds of Ravnica, uncommon, 2018-10-05, Ravnica Remastered, common, 2024-01-12,
Reprisal, Alliances, common, 1996-06-10, Classic Sixth Edition, uncommon, 1999-04-21, Masters Edition II, common, 2008-09-22,
Smash to Smithereens, Shadowmoor, common, 2008-05-02, Friday Night Magic 2016, rare, 2016-01-01, Magic Online Promos, common, 2016-04-06,
Mirrored Depths, DCI Promos, rare, 2009-09-30, DCI Promos, rare, 2009-09-30, Planechase Anthology Planes, common, 2018-12-25,
Dragon's Eye Savants, Khans of Tarkir, uncommon, 2014-09-26, Khans of Tarkir, uncommon, 2014-09-26, Masters 25, common, 2018-03-16,
Thought Courier, Fifth Dawn, common, 2004-06-04, Ninth Edition, uncommon, 2005-07-29, The List, common, 2024-08-02,
Street Wraith, Future Sight, uncommon, 2007-05-04, Future Sight, uncommon, 2007-05-04, Modern Masters, common, 2013-06-07,
Breath of Malfegor, Alara Reborn, common, 2009-04-30, IDW Comics Inserts, rare, 2012-11-07, Starter Commander Decks, common, 2022-12-02,
Boros Elite, Gatecrash, uncommon, 2013-02-01, Gatecrash, uncommon, 2013-02-01, Ravnica Remastered, common, 2024-01-12,
Parasitic Impetus, Commander 2020, uncommon, 2020-04-17, Commander 2020, uncommon, 2020-04-17, Commander Legends: Battle for Baldur's Gate, common, 2022-06-10,
Thundering Giant, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Modern Masters, common, 2013-06-07,
Barktooth Warbeard, Legends, uncommon, 1994-06-01, Legends, uncommon, 1994-06-01, Masters Edition III, common, 2009-09-07,
Gods Willing, Theros, common, 2013-09-27, Core Set 2020, uncommon, 2019-07-12, The List, common, 2019-11-07,
Skirge Familiar, Urza's Saga, uncommon, 1998-10-12, Urza's Saga, uncommon, 1998-10-12, Vintage Masters, common, 2014-06-16,
Judge's Familiar, Return to Ravnica, uncommon, 2012-10-05, Return to Ravnica, uncommon, 2012-10-05, Ravnica Remastered, common, 2024-01-12,
Expedition Map, Zendikar, common, 2009-10-02, Modern Masters 2015, uncommon, 2015-05-22, Double Masters, common, 2020-08-07,
Cryptic Serpent, Amonkhet, uncommon, 2017-04-28, Amonkhet, uncommon, 2017-04-28, Commander Masters, common, 2023-08-04,
Scrivener, Exodus, uncommon, 1998-06-15, Exodus, uncommon, 1998-06-15, Odyssey, common, 2001-10-01,
Battleground Geist, Innistrad, uncommon, 2011-09-30, Innistrad, uncommon, 2011-09-30, Shadows of the Past, common, 2023-03-21,
Prowling Pangolin, Onslaught, uncommon, 2002-10-07, Onslaught, uncommon, 2002-10-07, Eternal Masters, common, 2016-06-10,
Burst Lightning, Zendikar, common, 2009-10-02, Magic Player Rewards 2010, rare, 2010-01-01, Magic Online Promos, common, 2014-10-17,
Rift Bolt, Time Spiral, common, 2006-10-06, Friday Night Magic 2010, rare, 2010-01-01, Magic Online Theme Decks, common, 2010-11-08,
Moonlight Hunt, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Clear Shot, Eldritch Moon, uncommon, 2016-07-22, Eldritch Moon, uncommon, 2016-07-22, Double Masters, common, 2020-08-07,
Ainok Survivalist, Dragons of Tarkir, uncommon, 2015-03-27, Dragons of Tarkir, uncommon, 2015-03-27, Masters 25, common, 2018-03-16,
Stone Golem, Magic 2011, uncommon, 2010-07-16, Magic 2011, uncommon, 2010-07-16, Battlebond, common, 2018-06-08,
Crimson Mage, Magic 2012, uncommon, 2011-07-15, Magic 2012, uncommon, 2011-07-15, Masters 25, common, 2018-03-16,
Myr Retriever, Mirrodin, uncommon, 2003-10-02, Mirrodin, uncommon, 2003-10-02, Double Masters, common, 2020-08-07,
Ovinize, Planar Chaos, uncommon, 2007-02-02, Planar Chaos, uncommon, 2007-02-02, Dominaria Remastered, common, 2023-01-13,
Llanowar Visionary, Core Set 2021, common, 2020-07-03, Secret Lair Drop, rare, 2024-02-23, The List, common, 2024-08-02,
Goblin Mime, Arena League 2004, rare, 2004-01-01, Arena League 2004, rare, 2004-01-01, Unhinged, common, 2004-11-19,
Nature's Claim, Worldwake, common, 2010-02-05, Time Spiral Remastered, special, 2021-03-19, Mystery Booster 2, common, 2024-08-02,
Spitebellows, Morningtide, uncommon, 2008-02-01, Morningtide, uncommon, 2008-02-01, Commander Masters, common, 2023-08-04,
Morkrut Necropod, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad, uncommon, 2016-04-08, Shadows over Innistrad Remastered, common, 2023-03-21,
Utopia Sprawl, Dissension, common, 2006-05-05, Masters 25, uncommon, 2018-03-16, Forgotten Realms Commander, common, 2021-07-23,
Flood, The Dark, rare, 1994-08-01, The Dark, rare, 1994-08-01, Fourth Edition, common, 1995-04-01,
Alluring Scent, Portal, rare, 1997-05-01, Portal, rare, 1997-05-01, Masters Edition IV, common, 2011-01-10,
Cathartic Reunion, Kaladesh, common, 2016-09-30, Signature Spellbook: Chandra, rare, 2020-06-26, Double Masters, common, 2020-08-07,
Agony Warp, Shards of Alara, common, 2008-10-03, Modern Masters 2015, uncommon, 2015-05-22, Modern Masters 2017, common, 2017-03-17,
Horned Sliver, Tempest, uncommon, 1997-10-14, Tempest, uncommon, 1997-10-14, Tempest Remastered, common, 2015-05-06,
Seekers' Squire, Ixalan, uncommon, 2017-09-29, Ixalan, uncommon, 2017-09-29, Double Masters 2022, common, 2022-07-08,
Storm Shaman, Alliances, common, 1996-06-10, Seventh Edition, uncommon, 2001-04-11, Deckmasters, common, 2001-12-01,
Rite of Flame, Coldsnap, common, 2006-07-21, Signature Spellbook: Chandra, rare, 2020-06-26, Mystery Booster 2, common, 2024-08-02,
Balduvian Conjurer, Ice Age, uncommon, 1995-06-03, Ice Age, uncommon, 1995-06-03, Masters Edition II, common, 2008-09-22,
Tin Street Dodger, Ravnica Allegiance, uncommon, 2019-01-25, Ravnica Allegiance, uncommon, 2019-01-25, Ravnica Remastered, common, 2024-01-12,
Unmake, Eventide, common, 2008-07-25, Magic Player Rewards 2009, rare, 2009-01-01, Archenemy, common, 2010-06-18,
Royal Trooper, Starter 1999, uncommon, 1999-07-01, Starter 1999, uncommon, 1999-07-01, Masters Edition II, common, 2008-09-22,
Pirate's Pillage, Rivals of Ixalan, uncommon, 2018-01-19, Rivals of Ixalan, uncommon, 2018-01-19, Double Masters 2022, common, 2022-07-08,
